model,tensor_name,layer_type,layer_index,shape,n_params,var_total,rho2_pct,var_row_pct,var_col_pct,row_dominance,svd_r1_pct,compression_gain_bpp,svd_to_cw_ratio,rho2_hadamard_pct,hadamard_ratio,rho2_actweight_pct,actweight_change_pct,time_sec
gemma3-1b,model.layers.15.mlp.down_proj.weight,mlp_down,15,1152x6912,7962624,8.051382610574365e-05,0.10282189996219104,0.014669434403541369,0.08804083353278534,14.28234459736334,0.6152430456797697,0.0007420848041120075,5.9835798201161685,,,,,0.33
gemma3-1b,model.layers.15.mlp.gate_proj.weight,mlp_gate,15,6912x1152,7962624,0.0009036549017764628,0.8452674011233619,0.09051585201867055,0.7548364505004389,10.707470926492734,1.466411202455109,0.006123230888902941,1.7348488780074163,,,,,0.28
gemma3-1b,model.layers.15.mlp.up_proj.weight,mlp_up,15,6912x1152,7962624,0.0009036748087964952,0.10523017208035057,0.09059853112460761,0.014650970898820389,86.07977176408953,0.3658477138103633,0.0007594749055559612,3.4766427401735416,,,,,0.43
gemma3-1b,model.layers.15.self_attn.k_proj.weight,attn_k,15,256x1152,294912,0.0014080333057790995,0.46329391015099697,0.08537280693459251,0.37791233468051116,18.42770235129191,4.776250300689588,0.0033497246739508796,10.309331066175488,,,,,0.01
gemma3-1b,model.layers.15.self_attn.o_proj.weight,attn_o,15,1152x1024,1179648,0.0002861947286874056,0.14493201659294686,0.06644413955754752,0.07846826350988695,45.85124402817886,7.911437450557923,0.001046221846501319,54.58723087237396,,,,,0.05
gemma3-1b,model.layers.15.self_attn.q_proj.weight,attn_q,15,1024x1152,1179648,0.0005352207226678729,0.22247907617839457,0.08041501924560376,0.14203824898067127,36.149174110495515,3.082277881838047,0.001606635176504004,13.854237147975777,,,,,0.06
gemma3-1b,model.layers.15.self_attn.v_proj.weight,attn_v,15,256x1152,294912,0.0014079933753237128,0.4764369071048491,0.0802768661916574,0.39614920508548834,16.849805464352702,1.2725149204745545,0.0034449789234963293,2.6708991295557065,,,,,0.02
gemma3-1b,model.layers.16.mlp.down_proj.weight,mlp_down,16,1152x6912,7962624,0.00013466557720676064,0.10231087724120735,0.014531897963232947,0.08774734887803826,14.208061177635804,0.9079135543366812,0.0007383947696502946,8.874066754370515,,,,,0.24
gemma3-1b,model.layers.16.mlp.gate_proj.weight,mlp_gate,16,6912x1152,7962624,0.0009178887703455985,1.1714728367161586,0.08963493176203385,1.0818309751617854,7.6515186000938264,1.670071138718332,0.008500277264792612,1.4256166138685988,,,,,0.3
gemma3-1b,model.layers.16.mlp.up_proj.weight,mlp_up,16,6912x1152,7962624,0.0009179051266983151,0.1070865322848058,0.09241899949086813,0.014656212476988792,86.31222651103556,0.3594893382180109,0.0007728799444301202,3.3569985930809505,,,,,0.47
gemma3-1b,model.layers.16.self_attn.k_proj.weight,attn_k,16,256x1152,294912,0.001480842474848032,0.49072587682404967,0.08485133203741016,0.4058640961542695,17.29135200621126,2.5308735038597208,0.003548552916999423,5.1574078796076375,,,,,0.01
gemma3-1b,model.layers.16.self_attn.o_proj.weight,attn_o,16,1152x1024,1179648,0.00042452214984223247,0.1441884157030504,0.056011452736679956,0.08817937985724099,38.84536327938603,3.323953283073733,0.0010408501345614632,23.05284559003177,,,,,0.08
gemma3-1b,model.layers.16.self_attn.q_proj.weight,attn_q,16,1024x1152,1179648,0.0005088876350782812,0.2082441390873213,0.08565953976283776,0.12260224813251126,41.13070411451641,3.2759073803915184,0.0015037301927592862,15.731090415072181,,,,,0.08
gemma3-1b,model.layers.16.self_attn.v_proj.weight,attn_v,16,256x1152,294912,0.0014808555133640766,0.4483331252694511,0.07790846263756979,0.3704271807224303,17.377262725241685,1.0208902397642494,0.003241311259969788,2.277079658458624,,,,,0.03
gemma3-1b,model.layers.17.mlp.down_proj.weight,mlp_down,17,1152x6912,7962624,7.554285548394546e-05,0.10544635022038396,0.014817399943984035,0.09061521072029546,14.053905950565786,1.123208783732066,0.0007610359455812536,10.651945575968709,,,,,0.3
gemma3-1b,model.layers.17.mlp.gate_proj.weight,mlp_gate,17,6912x1152,7962624,0.0008778439369052649,1.2659963594515156,0.0892027201656077,1.1768585287128834,7.045687579856481,1.8483024302560325,0.009190532787174976,1.4599587245707382,,,,,0.43
gemma3-1b,model.layers.17.mlp.up_proj.weight,mlp_up,17,6912x1152,7962624,0.0008778893388807774,0.0981433261212139,0.08431974397758218,0.013799347801499488,85.93612359094276,0.5500024155556837,0.0007083020819498853,5.604073524840518,,,,,0.39
gemma3-1b,model.layers.17.self_attn.k_proj.weight,attn_k,17,256x1152,294912,0.0014512272318825126,0.48734364104067174,0.08608515725379709,0.4012524203937334,17.664379108491126,2.0711093281849613,0.0035240353435820023,4.249792453970103,,,,,0.03
gemma3-1b,model.layers.17.self_attn.o_proj.weight,attn_o,17,1152x1024,1179648,0.00025218765949830413,0.10918509672477317,0.027885630883225612,0.0812742828845956,25.54566957842898,11.100912128647511,0.0007880342742413214,101.67058015829745,,,,,0.05
gemma3-1b,model.layers.17.self_attn.q_proj.weight,attn_q,17,1024x1152,1179648,0.0005192173412069678,0.24861867923694492,0.09357105036949756,0.15502606149551137,37.63963694811857,6.474993275224216,0.0017956377495392303,26.043872870281213,,,,,0.05
gemma3-1b,model.layers.17.self_attn.v_proj.weight,attn_v,17,256x1152,294912,0.0014512970810756087,0.4989272490610319,0.09443087593741877,0.4044799541825816,18.92740550745427,1.12410619424409,0.0036080075094229,2.253046303563553,,,,,0.03
gemma3-1b,model.layers.18.mlp.down_proj.weight,mlp_down,18,1152x6912,7962624,7.884014485171065e-05,0.10160850602549676,0.014356218549655436,0.0873016858319674,14.122087836635233,1.0367874763403062,0.0007333230612030802,10.203746880011638,,,,,0.21
gemma3-1b,model.layers.18.mlp.gate_proj.weight,mlp_gate,18,6912x1152,7962624,0.0008551349746994674,1.276547778189896,0.08536486695871523,1.1912631907180309,6.686745324559551,1.7637361081050407,0.009267625239502036,1.381645198275275,,,,,0.26
gemma3-1b,model.layers.18.mlp.up_proj.weight,mlp_up,18,6912x1152,7962624,0.0008551605860702693,0.10240582560843148,0.08731343497003753,0.015101811247417477,85.254332918995,0.4251930371365398,0.0007390803791214171,4.152039540820146,,,,,0.38
gemma3-1b,model.layers.18.self_attn.k_proj.weight,attn_k,18,256x1152,294912,0.0019678466487675905,0.5274474649712202,0.08510200924921707,0.44234683647767936,16.134646978312162,7.719972785592743,0.0038147986068931537,14.636477181692358,,,,,0.02
gemma3-1b,model.layers.18.self_attn.o_proj.weight,attn_o,18,1152x1024,1179648,0.0003141187771689147,0.11085848943934717,0.023562036739171656,0.08731472303004742,21.250654139076673,9.268128714297962,0.0008001185464283245,83.60323833718424,,,,,0.05
