model,tensor_name,layer_type,layer_index,shape,n_params,var_total,rho2_pct,var_row_pct,var_col_pct,row_dominance,svd_r1_pct,compression_gain_bpp,svd_to_cw_ratio,rho2_hadamard_pct,hadamard_ratio,rho2_actweight_pct,actweight_change_pct,time_sec
qwen3-4b,model.layers.16.mlp.gate_proj.weight,mlp_gate,16,4096x2560,10485760,0.0005762017099186778,0.6377164723554873,0.03708147770999574,0.6007263340142054,5.813895193561912,1.23691327672516,0.004614882584008402,1.9395975019375973,,,,,0.32
qwen3-4b,model.layers.16.mlp.up_proj.weight,mlp_up,16,4096x2560,10485760,0.0005305100930854678,0.06234300414281746,0.038297792695268174,0.02398866644753719,61.48654655012912,0.23209748555982346,0.0004498499541172512,3.7229114758109296,,,,,0.69
qwen3-4b,model.layers.16.self_attn.k_proj.weight,attn_k,16,1024x2560,2621440,0.0004923908854834735,0.13867723597389414,0.03619807489378294,0.10247074812148556,26.103975000781006,2.5512405910285585,0.0010010390703147883,18.39696741222061,,,,,0.47
qwen3-4b,model.layers.16.self_attn.o_proj.weight,attn_o,16,2560x4096,10485760,0.0004938807687722147,0.05050203263314845,0.011020172223578937,0.03952677136523995,21.80185673188087,0.5657536482619463,0.0003643871793859768,11.202591633719663,,,,,1.21
qwen3-4b,model.layers.16.self_attn.q_proj.weight,attn_q,16,4096x2560,10485760,0.0005154174286872149,0.07255948296540637,0.0382516197651721,0.034308006572265744,52.71749827828952,1.4578029224851408,0.0005235960134789713,20.091142644720417,,,,,1.55
qwen3-4b,model.layers.16.self_attn.v_proj.weight,attn_v,16,1024x2560,2621440,0.0006089216913096607,0.13919059916195353,0.04142690221755258,0.0977976206799271,29.755463588880804,0.6991258825687852,0.0010047473550079769,5.022795266189822,,,,,0.17
qwen3-4b,model.layers.17.mlp.down_proj.weight,mlp_down,17,2560x4096,10485760,0.0005053988425061107,0.061271362341097646,0.0228122770279734,0.03844714496236389,37.23880553683917,0.5716000584768621,0.00044211491174062507,9.32899215288808,,,,,0.33
qwen3-4b,model.layers.17.mlp.gate_proj.weight,mlp_gate,17,4096x2560,10485760,0.0005604979814961553,0.44031320299893206,0.039731504826404765,0.4006205937135292,9.022667306035707,0.7403326897865714,0.003183201554617095,1.6813774484713033,,,,,0.4
qwen3-4b,model.layers.17.mlp.up_proj.weight,mlp_up,17,4096x2560,10485760,0.0005364263197407126,0.06345669265193088,0.038746950790558295,0.024710875706902457,61.05937270339498,0.23356277462034392,0.00045788857484353913,3.6806641641642033,,,,,0.63
qwen3-4b,model.layers.17.self_attn.k_proj.weight,attn_k,17,1024x2560,2621440,0.00046485039638355374,0.12821702392002976,0.03962446369695466,0.08857051255246792,30.909529262565883,1.9217668250071651,0.000925483763573718,14.9883905136169,,,,,0.21
